#nrNodes nrCollisions nrTransmissions OverallEnergy
2 0 2 159.364608
2 2 3 362.347008
2 0 2 311.520768
2 0 2 333.17376
2 0 3 937.892352
2 0 4 1225.45152
2 0 4 1366.4672809
2 0 8 8356.45390848
3 0 10 23891.4398454
2 0 7 2167.4344489
2 0 1 390.993408
2 1 2 809.942016
2 0 2 731.667456
2 0 6 1415.1738409
2 0 11 5968.79894938
2 0 6 1678.76547379
2 0 8 84.609859584
2 0 7 54.493089792
2 0 9 62.510592
2 0 15 62.802432
2 0 2 63.332352
2 4 10 66.528976896
2 0 4 41.576448
2 2 9 498.636914688
2 0 6 51.336192
2 0 8 57.63072
2 0 9 62.515408896
2 0 1 4.013568
3 2 11 71.418482688
2 0 8 32.108544
2 0 2 721.683456
2 2 2 758.424576
2 0 3 625.347072
2 3 4 1060.780032
2 1 2 740.52096
2 2 3 702.202368
2 1 2 1170.204672
3 3 5 1507.68384
3 3 4 1305.987072
3 3 5 1557.60384
3 1 5 1558.470144
3 3 3 954.530304
3 2 5 1557.60384
3 1 3 954.530304
3 3 3 954.530304
3 1 3 955.396608
3 2 6 1909.926912
3 1 3 954.530304
3 2 4 1306.853376
3 1 4 1305.987072
3 0 2 752.833536
3 0 2 752.833536
3 1 4 1156.227072
3 1 3 954.530304
3 3 4 1157.093376
3 2 4 1156.227072
3 2 4 1305.987072
2 2 4 1252.472832
2 2 3 1322.340864
2 1 3 1043.255808
2 1 3 1141.430784
2 1 3 732.885504
2 2 4 917.010432
2 0 2 1381.865472
2 1 3 1373.526528
2 3 4 780.429312
2 2 4 861.2352
2 5 5 898.8096
3 1 4 1306.853376
3 3 6 1909.926912
3 4 7 2111.62368
3 0 4 1130.747328
2 0 3 1021.3632
5 0 7 16858.970112
2 2 3 828.731904
3 2 5 1271.66208
2 2 5 833.367552
2 3 4 883.464192
2 1 3 940.620288
2 2 5 1277.65248
2 4 6 696.743424
2 1 6 812.952576
2 1 4 929.058816
10 8 17 4752.79104
10 9 17 4843.777536
10 11 20 5140.96128
10 9 18 4337.144832
2 0 1 155.837952
20 3 20 20023.9104
20 11 28 12550.606848
20 21 36 10243.903488
10 18 25 3728.87424
10 18 22 2756.402688
10 15 22 3099.388416
10 13 20 3202.516992
10 16 22 3325.558272
10 17 21 2742.015744
10 16 20 2801.71008
10 17 21 3403.355904
10 17 19 2834.048256
10 11 21 5774.183424
10 7 13 4432.390656
10 5 15 4555.467264
10 9 13 4752.643584
10 16 20 3035.492352
10 9 18 5067.439104
10 18 23 3191.948544
10 10 17 6205.552128
10 11 20 4808.2623529
10 12 23 4069.70230579
10 11 18 4639.282176
10 15 21 3590.256384
10 12 19 5163.704832
10 10 17 4469.6448
10 10 16 4981.137408
30 86 93 12745.903872
30 27 52 51173.507904
30 23 48 73056.819648
30 27 52 94848.952704
30 44 67 46654.855104
30 33 55 43230.8027689
30 39 67 43031.460672
30 23 50 78062.534784
30 32 58 52252.0172329
30 24 51 73534.2478249
30 42 62 51257.14848
30 35 60 39858.077952
30 33 50 47882.693376
30 28 54 45782.6198569
30 27 54 62369.442048
30 45 69 57753.502656
30 34 51 41086.804608
30 20 42 60846.924096
30 35 53 40120.910016
30 13 41 69378.262272
30 36 58 41172.208128
30 33 56 135910.866624
15 11 24 18238.8482089
10 8 17 13913.451648
15 103 153 104506.195194
15 9 23 43869.610752
15 8 17 30242.893824
15 117 171 96663.7448018
15 126 140 106001.726208
15 50 65 76146.179328
15 12 26 27949.339392
10 5 16 14558.043264
15 84 120 81578.340096
15 106 152 113122.345095
15 107 153 60983.1038454
15 46 79 51005.5392845
15 82 117 79603.710336
15 9 27 30389.419392
15 14 37 19751.3513503
15 37 58 22440.763776
15 37 66 31118.5891369
15 45 65 31761.622272
15 40 65 41808.5049938
15 39 64 51815.09184
15 21 52 58281.7349929
15 62 88 47582.6937769
15 33 69 52369.2015867
15 35 71 43532.849664
15 64 87 44299.929216
15 81 117 51125.1597005
15 10 26 17764.7092009
15 26 36 27988.01184
15 33 46 39221.113344
15 22 39 31489.5907369
15 39 56 51704.689152
15 39 67 35582.3108045
15 55 83 34631.4669005
15 48 70 48265.3415209
15 71 107 44928.5990569
15 67 95 43191.4186107
15 43 70 51507.02784
15 76 110 41848.7381361
15 68 94 56682.4466258
15 85 132 48782.853673
15 1 19 16216.156416
15 33 44 28586.757888
15 17 34 42610.302336
15 25 40 42804.802176
15 33 57 31469.443776
15 50 80 37262.8582303
15 48 68 45540.6468649
15 44 63 46351.818624
15 56 81 30164.1514445
15 57 80 40811.161728
15 48 76 44080.2770596
15 66 80 38378.180352
15 37 72 58961.5112356
15 66 104 34386.2468383
15 173 257 208245.37951
10 6 12 4777.623552
30 98 117 33570.141696
30 230 248 55589.474304
10 68 77 19916.09088
3 3 7 2111.62368
10 15 28 18086.535552
10 27 47 8823.17033779
10 6 24 22566.833856
10 19 40 14902.569408
9 40 49 7146.726912
5 10 13 3041.785344
5 12 14 3148.833792
5 9 11 1661.956608
5 8 12 2795.360256
5 2 12 4744.20675379
5 0 11 5129.700864
5 0 34 4520.12618496
3 4 6 1709.380608
3 4 5 1507.68384
3 7 8 1288.095744
3 8 8 1147.121664
3 3 6 1710.246912
3 4 6 1909.060608
3 4 6 1760.166912
100 1780 1896 354239.603712
100 1895 1993 391780.806144
100 1928 2026 392616.926208
100 1728 1848 353513.177088
100 332 433 85806.085632
5 16 23 4061.596032
