#randomseed collType nrNodes TransRate DataSize nrTransmissions nrCollisions nrlost nrlosterror nrnoack nracklost CollectionTime DER1 DER2 OverallEnergy nodefair1 nodefair2 sfdistribution
1 True 1 5000 20 0 0 0 0 0 0 8000.0 0 0 0.0 0 0 0 0 0 0 0 0
1 True 1 5000 20 1 0 1 0 0 0 8000.0 1.0 0.0 14.936064 1.0 0 0 0 0 0 0 0
1 True 1 5000 20 0 0 0 0 0 0 8000.0 0 0 0.0 0 0 0 0 0 0 0 0
1 True 1 5000 20 1 0 1 0 0 0 8000.0 1.0 0.0 47.849472 1.0 0 0 0 0 0 0 0
1 True 1 5000 20 1 0 0 0 0 0 8000.0 1.0 1.0 68.395008 1.0 1.0 0 0 0 0 0 0
1 True 1 5000 20 0 0 0 0 0 0 8000.0 0 0 0.0 0 0 0 0 0 0 0 0
1 True 1 5000 20 0 0 0 0 0 0 8000.0 0 0 0.0 0 0 0 0 0 0 0 0
1 True 1 5000 20 1 0 0 0 0 0 8000.0 1.0 1.0 10.739712 1.0 1.0 0 0 0 0 0 0
1 True 2 5000 20 6 0 0 0 1 0 8000.0 1.0 0.833333333333 222.918352896 1.0 0.961538461538 0 0 0 0 0 0
1 True 2 5000 20 3 0 0 0 1 0 8000.0 1.0 0.666666666667 56.842960896 1.0 0.9 0 0 0 0 0 0
1 True 2 5000 20 9 0 0 0 5 0 8000.0 1.0 0.444444444444 291.58146048 1.0 0.748962655602 0 0 0 0 0 0
1 True 2 5000 20 2 0 0 0 0 0 8000.0 1.0 0.5 68.732928 1.0 0.5 0 0 0 0 0 0
1 True 2 5000 20 1 0 0 0 0 0 8000.0 1.0 1.0 203.292672 0.5 0.5 0 0 0 0 0 0
1 True 5 5000 20 10 0 3 0 1 0 8000.0 1.0 0.6 95.973328896 1.0 0.78064516129 0 0 0 0 0 0
1 True 5 5000 20 7 0 0 0 3 0 8000.0 1.0 0.571428571429 463.840370688 1.0 0.72 0 0 0 0 0 0
1 True 5 5000 20 2 0 0 0 0 0 8000.0 1.0 1.0 49.910784 0.4 0.4 0 0 0 0 0 0
1 False 5 5000 20 7 0 0 0 4 0 8000.0 1.0 0.428571428571 324.219715584 0.8 0.533333333333 0 0 0 0 0 0
1 True 5 5000 20 5 0 0 0 1 0 8000.0 1.0 0.8 125.069008896 0.6 0.4 0 0 0 0 0 0
2 True 5 5000 20 4 0 0 0 2 0 8000.0 1.0 0.25 259.237699584 0.6 0.2 0 0 0 0 0 0
2 True 5 5000 20 3 0 1 0 2 0 8000.0 1.0 0.0 315.504801792 0.6 0 0 0 0 0 0 0
2 True 5 5000 20 7 0 0 0 5 0 8000.0 1.0 0.142857142857 1258.01813606 0.8 0.2 0 0 0 0 0 0
2 True 5 5000 20 9 0 1 0 6 0 8000.0 1.0 0.111111111111 357.63972096 1.0 0.2 0 0 0 0 0 0
2 True 5 5000 20 5 0 0 0 3 0 8000.0 1.0 0.4 435.443011584 0.6 0.4 0 0 0 0 0 0
2 True 5 5000 20 5 0 0 0 1 0 8000.0 1.0 0.6 355.774881792 0.6 0.384615384615 0 0 0 0 0 0
2 True 5 5000 20 10 0 1 0 8 0 8000.0 1.0 0.1 845.028332544 1.0 0.2 0 0 0 0 0 0
2 True 5 5000 20 9 0 0 0 7 0 8000.0 1.0 0.222222222222 394.191980544 0.6 0.2 0 0 0 0 0 0
2 True 5 5000 20 15 0 0 0 12 0 8000.0 1.0 0.2 578.291073024 1.0 0.574512353706 0 0 0 0 0 0
2 True 5 5000 20 10 0 9 0 0 0 8000.0 1.0 0.0 330.836352 1.0 0 0 0 0 0 0 0
2 True 5 5000 20 9 0 9 0 0 0 8000.0 1.0 0.0 513.714432 0.8 0 0 0 0 0 0 0
2 True 5 5000 20 6 0 3 0 2 0 8000.0 1.0 0.166666666667 137.152613376 0.6 0.2 0 0 0 0 0 0
3 True 2 5000 1000 3 0 1 0 0 0 8000.0 1.0 0.333333333333 24449.4430249 1.0 0.5 0 0 0 0 0 0
3 True 2 5000 1000 2 0 0 0 0 0 8000.0 1.0 0.0 3419.057664 1.0 0 0 0 0 0 0 0
3 True 2 5000 1000 2 0 0 0 1 0 8000.0 1.0 0.5 2104.23440179 1.0 0.5 0 0 0 0 0 0
3 True 2 5000 1000 1 0 0 0 0 0 8000.0 1.0 0.0 832.609536 0.5 0 0 0 0 0 0 0
3 True 2 5000 1000 1 0 0 0 0 0 8000.0 1.0 0.0 2167.697664 0.5 0 0 0 0 0 0 0
3 True 2 5000 1000 2 0 0 0 0 0 8000.0 1.0 0.0 7029.715968 1.0 0 0 0 0 0 0 0
3 True 2 5000 5000 2 0 0 0 0 0 8000.0 1.0 0.0 40529.685504 1.0 0 0 0 0 0 0 0
3 True 2 5000 5000 2 0 0 0 0 0 8000.0 1.0 0.0 21495.76704 1.0 0 0 0 0 0 0 0
3 True 2 5000 5000 1 0 0 0 0 0 8000.0 1.0 0.0 24198.316032 0.5 0 0 0 0 0 0 0
3 True 2 5000 5000 1 0 0 0 0 0 8000.0 1.0 0.0 39216.832512 0.5 0 0 0 0 0 0 0
3 True 4 5000 5000 3 0 0 0 0 0 8000.0 1.0 0.0 71155.231488 0.75 0 0 0 0 0 0 0
2 True 4 5000 5000 4 0 0 0 0 0 8000.0 1.0 0.0 37377.58464 1.0 0 0 0 0 0 0 0
2 True 4 5000 5000 3 0 1 0 0 0 8000.0 1.0 0.0 13130.591232 0.75 0 0 0 0 0 0 0
