#nbrEnvoyés    collisions
48   48  10   51   47 20  41   31  12
50   46  8   54   51  11 42   47   7
52   52  10   58   55 16  51   66  8
55   60  13   60   58 13  58   62  7
67   65  15   62   68 6  69   65   10
          
 


