#nrNodes nrCollisions nrTransmissions OverallEnergy
2 0 2 987.297792
2 0 3 239.337984
2 0 2 473.88864
2 0 1 391.282176
2 0 3 445.920768
2 0 2 741.928704
2 2 4 1445.842944
2 0 3 830.863872
2 0 2 1191.750144
2 0 3 473.872128
2 0 3 881.685504
5 3 6 1362.336768
5 0 3 1362.501504
5 0 5 1146.7328809
5 0 4 2354.786304
2 0 1 629.431296
2 0 1 62.538624
5 2 7 1740.612096
5 3 3 815.153664
5 0 6 994.198514688
5 1 5 1624.793856
5 0 4 1139.058048
5 0 7 1858.99392
5 1 5 1509.436416
5 0 6 1360.9292329
5 0 5 1837.091328
5 5 7 1213.064832
5 1 4 1493.635584
5 2 7 2395.716096
5 0 6 1522.013952
5 0 3 437.913216
5 0 5 1272.594816
5 3 6 1291.957248
5 0 7 2141.7125929
2 2 4 1666.289664
2 0 2 616.69056
3 0 1 317.709312
3 0 9 1402.59961958
2 0 2 794.806272
3 0 5 1011.810816
2 0 3 383.777664
2 0 2 374.697216
2 0 8 2571.66419558
2 0 3 657.372880896
2 0 8 79.388227584
2 2 5 51.01056
3 0 10 88.012517376
2 2 3 969.765888
5 0 9 9766.938624
